Home,Away,HomeVictory,HomeDefeat,HomeDraw,HomeGoal,ExtVictory,ExtDefeat,ExtDraw,ExtGoal
Everton,Arsenal,0.2,0.6,0.2,1.4,0.2,0.2,0.6,1.8
Crystal Palace,Leicester,0,1,0,0.8,0.6,0.2,0.2,1.4
Chelsea,West Ham,0.2,0,0.8,2.4,0.4,0.4,0.2,1.8
Watford,Stoke,0.2,0.4,0.4,0.6,0.2,0.6,0.2,1
West Brom,Norwich,0.6,0,0.4,1.4,0,1,0,0.2
Swansea,Aston Villa,0.4,0.4,0.2,1,0,0.8,0.2,0.4
Southampton,Liverpool,0.6,0.2,0.2,1.6,0.6,0.4,0,2.6
Newcastle,Sunderland,0.4,0.4,0.2,1.4,0.2,0.4,0.4,1.6
Tottenham,Bournemouth,0.6,0.2,0.2,1.8,0.4,0,0.6,1.2
Man City,Man United,0.4,0.4,0.2,2,0.2,0.4,0.4,1.2
Aston Villa,Chelsea,0.2,0.6,0.2,0.8,0.8,0,0.2,1.6
Arsenal,Watford,0.4,0.4,0.2,0.8,0.2,0.8,0,0.4
Bournemouth,Man City,0.6,0.4,0,1.8,0.4,0.2,0.4,1
West Ham,Crystal Palace,0.8,0,0.2,1.6,0,0.6,0.4,1
Stoke,Swansea,0.4,0.4,0.2,0.8,0.4,0.4,0.2,1.6
Sunderland,West Brom,0.4,0.2,0.4,1.6,0.2,0.4,0.4,1
Norwich,Newcastle,0,0.6,0.4,1.4,0,1,0,0.4
Liverpool,Tottenham,0.4,0.2,0.4,1.8,0.8,0.2,0,2
Leicester,Southampton,0.8,0,0.2,1.8,0.6,0.2,0.2,0.8
Man United,Everton,0.8,0.2,0,1.8,0.6,0,0.4,2
